%time powercore powersram powertrans tempcore tempsram temptrans
0 0 0 0 0 0 0
0.001 0 0 0 0 0 0
0.002 0.21343 1.45896 0.39205 0.611929074219 0.349087344675 0.29533972748
0.003 0.20325 1.46549 0.40096 1.31512164245 0.770354237437 0.673501254961
0.004 0.19733 1.46737 0.38215 1.45080527649 0.885646312241 0.789066224726
0.005 0.19896 1.46694 0.38215 1.52141355447 0.950764830131 0.845893391101
0.006 0.20171 1.46564 0.40096 1.58168864419 0.995199940721 0.90591015345
0.007 0.19704 1.46737 0.38215 1.61152786951 1.02866106917 0.943084617864
0.008 0.19914 1.46679 0.38215 1.62655780125 1.05308785263 0.95640467751
0.009 0.20173 1.46578 0.40096 1.65469530854 1.07151869717 0.986712256904
0.01 0.19739 1.46737 0.38215 1.66243287686 1.0855369694 1.00184478205
0.011 0.19996 1.46665 0.38215 1.66696278609 1.09714920842 1.00057206523
0.012 0.20086 1.46593 0.40096 1.68214786619 1.10568363292 1.02009804807
0.013 0.19693 1.46737 0.38215 1.68098586929 1.1135464034 1.0284548828
0.014 0.20092 1.4665 0.38215 1.68503112544 1.11997258259 1.02192363976
0.015 0.20055 1.46607 0.40096 1.69890251557 1.12556237105 1.03831024494
0.016 0.19745 1.46737 0.38215 1.69421073065 1.13072120747 1.04397117478
0.017 0.20101 1.46622 0.38215 1.6983564737 1.13561860386 1.0359284551
0.018 0.20012 1.46636 0.40096 1.70822491186 1.1396983855 1.0508026517
0.019 0.19733 1.46737 0.38215 1.70233392923 1.14420287875 1.0556722626
0.02 0.20146 1.46593 0.38215 1.70762302923 1.1480064225 1.04667732321
0.021 0.19901 1.46665 0.40096 1.71491294395 1.15174170266 1.0610807027
0.022 0.19793 1.46737 0.38215 1.70845494845 1.15564390965 1.06527899532
0.023 0.20275 1.46593 0.38215 1.72010409407 1.15915242006 1.05595981244
0.024 0.19864 1.46665 0.40096 1.72502839377 1.16238074161 1.06984901493
0.025 0.19713 1.46737 0.38215 1.71290332041 1.16608792917 1.07379432374
0.026 0.20238 1.46564 0.38908 1.72330370489 1.16910581573 1.06884718663
0.027 0.19811 1.46694 0.39403 1.7286431275 1.17222201927 1.07845313987
0.028 0.19725 1.46737 0.38215 1.71744538948 1.17564556149 1.07691510579
0.029 0.20401 1.46535 0.397 1.73382318057 1.17839187968 1.08103314078
0.03 0.19798 1.46723 0.38611 1.73896242627 1.18125258982 1.08604139534
0.031 0.19745 1.46737 0.38215 1.72413614194 1.18459188522 1.07860791359
0.032 0.20412 1.4652 0.40096 1.74041393791 1.18696243704 1.08954517042
